-9.33329,38.69968,,
-9.33025,38.94727,,
-9.32643,38.86052,,
-9.32482,39.27402,,
-9.32339,38.8507,,
-9.3221,38.92082,,
-9.32179,38.69444,,
-9.32051,39.30548,,
-9.31639,39.29778,,
-9.3145,38.6836,,
-9.31356,38.81195,,
-9.3113,38.83781,,
-9.31104,38.93154,,
-9.31069,38.83726,,
-9.31033,38.68553,,
-9.309,38.71141,,
-9.3073,39.3357,,
-9.30429,38.76581,,
-9.30328,39.23644,,
-9.30041,38.7663,,
-9.29992,38.70927,,
-9.29941,38.69007,,
-9.29934,38.73991,,
-9.299,38.8659,,
-9.2971,38.8692,,
-9.29667,38.76203,,
-9.29628,38.72696,,
-9.29282,38.75833,,
-9.28728,38.75152,,
-9.28572,39.32621,,
-9.28369,39.20827,,
-9.28215,38.73643,,
-9.28194,38.93563,,
-9.28047,38.98507,,
-9.27909,38.73602,,
-9.27908,38.73505,,
-9.2777,39.02841,,
-9.27767,38.6988,,
-9.27717,39.16506,,
-9.27479,39.01167,,
-9.27397,39.19026,,
-9.27261,38.74761,,
-9.27231,38.7515,,
-9.26998,38.76253,,
-9.26719,39.05071,,
-9.26406,38.7086,,
-9.26302,38.70601,,
-9.26295,38.70561,,
-9.26227,38.74749,,
-9.26174,39.05196,,
-9.26077,38.70242,,
-9.26024,38.71347,,
-9.25876,38.95758,,
-9.25857,38.77355,,
-9.25839,38.71341,,
-9.2576,39.0532,,
-9.25548,38.74875,,
-9.25509,39.33154,,
-9.25463,38.77425,,
-9.25458,38.74867,,
-9.25334,39.12344,,
-9.25222,39.2302,,
-9.25055,38.71863,,
-9.2497,38.8767,,
-9.2483,38.6996,,
-9.24813,39.09964,,
-9.24361,39.11075,,
-9.24271,42.92905,,
-9.23905,38.79706,,
-9.23778,39.0465,,
-9.2374,39.33795,,
-9.23413,38.64642,,
-9.23184,38.71669,,
-9.22971,38.77681,,
-9.22926,39.14778,,
-9.22878,38.79606,,
-9.22864,38.64855,,
-9.22862,38.64831,,
-9.2264,38.80969,,
-9.22379,39.15863,,
-9.22353,38.733,,
-9.22302,38.77487,,
-9.22225,38.73467,,
-9.22174,38.73132,,
-9.22127,38.90453,,
-9.22032,38.74111,,
-9.21993,38.7017,,
-9.21977,38.65391,,
-9.21742,38.98634,,
-9.21689,38.7276,,
-9.216,38.7721,,
-9.21574,39.34267,,
-9.21539,38.65414,,
-9.21493,38.71125,,
-9.21467,39.00223,,
-9.21331,43.10067,,
-9.21317,38.75891,,
-9.20929,38.7475,,
-9.20929,38.7534,,
-9.20921,38.74753,,
-9.20871,38.77126,,
-9.20789,38.75541,,
-9.20724,38.69482,,
-9.2067,38.69453,,
-9.20664,38.75843,,
-9.20571,38.74347,,
-9.20541,38.74352,,
-9.20513,38.73856,,
-9.20504,38.74257,,
-9.20485,38.7427,,
-9.20476,38.74257,,
-9.20455,38.7739,,
-9.20295,38.77181,,
-9.20257,38.69527,,
-9.19979,38.86665,,
-9.19926,38.65747,,
-9.19912,38.7735,,
-9.1991,38.87777,,
-9.1987,38.7422,,
-9.19794,38.80563,,
-9.19753,38.88189,,
-9.19693,38.8637,,
-9.19689,38.88335,,
-9.19608,43.08292,,
-9.19544,38.79472,,
-9.19524,38.69621,,
-9.1951,38.79408,,
-9.19498,38.63153,,
-9.1948,38.79264,,
-9.19399,38.74427,,
-9.19386,38.74541,,
-9.19261,38.74447,,
-9.19249,38.69678,,
-9.19211,38.65983,,
-9.19204,38.81045,,
-9.19059,38.76268,,
-9.19028,38.72542,,
-9.18985,38.74404,,
-9.18975,38.69699,,
