-6.17609,36.46778,-6.20531,36.46957
-6.20537,36.46985,-6.17053,36.46750
-4.68786,36.49839,-4.63734,36.50854
-4.68799,36.49846,-4.63743,36.50860
-4.63734,36.50854,-4.68786,36.49839
-4.63743,36.50860,-4.68799,36.49846
-5.06722,36.58200,-5.06892,36.59244
-5.06892,36.59244,-5.06722,36.58200
-3.93543,36.75552,-3.92266,36.75586
-4.42575,36.77529,-4.44558,36.82034
-4.44558,36.82034,-4.42575,36.77529
-4.43753,36.86219,-4.42336,36.88303
-4.42336,36.88303,-4.43753,36.86219
-1.70970,37.67074,-1.71095,37.67964
-1.70970,37.67935,-1.70734,37.67441
-1.18999,37.93577,-1.17588,37.93966
-1.17588,37.93966,-1.18999,37.93577
-3.49822,38.40585,-3.50812,38.37862
-4.10756,40.66991,-4.16522,40.71429
-4.16072,40.71690,-4.12827,40.69910
-4.47462,41.39030,-4.46661,41.39613
-4.46661,41.39613,-4.47462,41.39030
-4.43120,41.40152,-4.39748,41.40546
-4.39748,41.40546,-4.43120,41.40152
-0.94960,41.61920,-0.91570,41.60880
-5.01080,41.83810,-5.01330,41.85330
-5.01330,41.85330,-5.01080,41.83810
-4.55960,42.03780,-4.60720,42.23770
-4.64570,42.11750,-4.67310,42.14100
-4.67310,42.14100,-4.64570,42.11750
-4.67310,42.14100,-4.84790,42.21500
-4.84790,42.21500,-4.67310,42.14100
-8.66477,42.27333,-8.66437,42.24053
-4.60420,42.32410,-4.55960,42.03780
-4.62450,42.35240,-4.69420,42.44390
-7.85027,42.39616,-7.85463,42.36846
-4.69420,42.44390,-4.62450,42.35240
-5.73330,42.54160,-5.71400,42.55360
-5.71400,42.55360,-5.73330,42.54160
-5.87530,42.84710,-5.87570,42.86300
-8.49536,42.91748,-8.48320,42.92637
-8.49861,43.28963,-8.52638,43.27876
-3.41440,43.35110,-3.42250,43.36750
-3.42250,43.36750,-3.41670,43.35630
-7.40731,43.37759,-7.35385,43.38156
-7.34922,43.38320,-7.40780,43.37707
-8.15692,43.49301,-8.15731,43.48240
-8.08648,43.52494,-8.03476,43.49945
-7.02717,43.54286,-7.04073,43.54282
-7.04189,43.54287,-7.02694,43.54311
