-9.33329,38.69968
-9.31033,38.68553
-9.30429,38.76581
-9.30041,38.76630
-9.29628,38.72696
-9.29282,38.75833
-9.28728,38.75152
-9.26406,38.70860
-9.26302,38.70601
-9.26227,38.74749
-9.25839,38.71341
-9.25548,38.74875
-9.25055,38.71863
-9.23184,38.71669
-9.22864,38.64855
-9.21493,38.71125
-9.20929,38.74750
-9.20929,38.75340
-9.20921,38.74753
-9.20789,38.75541
-9.20724,38.69482
-9.20664,38.75843
-9.20571,38.74347
-9.20541,38.74352
-9.20504,38.74257
-9.20485,38.74270
-9.20476,38.74257
-9.20257,38.69527
-9.19979,38.86665
-9.19386,38.74541
-9.19028,38.72542
-9.18975,38.69699
-9.18931,38.74902
-9.18470,38.75102
-9.18406,38.66252
-9.18369,38.66289
-9.18251,38.74333
-9.18010,38.78349
-9.17822,38.74152
-9.17583,38.72296
-9.17555,38.74982
-9.17554,38.71669
-9.17540,38.71650
-9.17362,38.72434
-9.17284,38.72677
-9.16890,38.79008
-9.16503,38.76777
-9.16462,38.76935
-9.16447,38.73249
-9.16402,38.73362
-9.16378,38.64453
-9.16123,38.74435
-9.16121,38.74402
-9.15802,38.77788
-9.15495,38.72491
-9.14940,38.75121
-9.14775,38.74517
-9.14520,38.77371
-9.14415,38.77505
-9.14314,38.74184
-9.14156,38.76311
-9.14010,38.76299
-9.13100,38.74830
-9.13062,38.75256
-9.12991,38.74187
-9.12983,38.80026
-9.12367,38.77831
-9.12284,38.77782
-9.12180,38.74808
-9.12036,38.74827
-9.11871,38.61402
-9.11870,38.79546
-9.11764,38.76022
-9.11602,38.75967
-9.11480,38.77825
-9.11288,38.77729
-9.10930,38.79875
-9.10466,38.77081
-9.10457,38.77060
-9.10430,38.49649
-9.10430,38.49649
-9.10421,38.73426
-9.10398,38.73424
-9.10143,38.81542
-9.09992,38.54873
-9.09992,38.54873
-9.08654,38.84839
-9.07377,38.84086
-9.06380,38.77756
-8.99113,38.72770
-8.94624,38.71682
-8.94322,38.71572
-8.94253,38.94121
-8.94240,38.94130
-8.93757,42.60632
-8.92578,39.11335
-8.92312,38.67946
-8.91495,38.64518
-8.91482,38.64135
-8.91137,38.61319
-8.90193,42.65146
-8.89111,38.92467
-8.89101,38.92454
-8.88360,42.04674
-8.88129,38.88164
-8.88078,38.79327
-8.87447,41.90563
-8.87115,41.90128
-8.84241,42.67529
-8.82686,38.70725
-8.82686,38.70725
-8.82133,40.21062
-8.80289,42.43619
-8.78700,42.58586
-8.78540,38.56162
-8.77929,40.26633
-8.77929,40.26633
-8.77492,42.20951
-8.77346,39.21823
-8.77172,38.69427
-8.77172,38.69427
-8.77014,39.76964
-8.76874,40.28526
-8.76874,40.28526
-8.76594,42.60360
-8.76475,42.58906
-8.76381,42.21391
-8.76043,41.41285
-8.75764,42.22310
-8.75658,42.21770
-8.74419,42.68413
-8.74388,42.21548
-8.74150,42.57088
-8.73798,42.83492
-8.73756,39.25382
-8.72948,42.23792
-8.72467,42.24070
-8.72338,42.23895
-8.72106,42.19189
-8.71910,42.24072
-8.71846,42.19255
-8.71833,42.19684
-8.71560,42.72794
-8.71411,42.23967
-8.71287,42.50857
-8.70032,42.07394
-8.70032,42.07394
-8.69840,41.30929
-8.69586,42.24697
-8.69435,38.86457
-8.69169,43.21141
-8.68838,42.37308
-8.68796,43.13842
-8.68693,42.06143
-8.68693,42.06143
-8.68577,42.25148
-8.68460,42.21746
-8.67423,38.57812
-8.67423,38.57812
-8.66836,41.18930
-8.66488,42.27328
-8.66417,42.24063
-8.66250,42.21148
-8.66105,42.24034
-8.65654,42.19889
-8.65504,42.21620
-8.65141,38.73416
-8.65141,38.73416
-8.65138,43.23279
-8.65138,43.23279
-8.65079,42.42298
-8.65076,42.72393
-8.64939,42.78845
-8.64886,38.73161
-8.64886,38.73161
-8.64268,42.51248
-8.64258,41.06902
-8.64247,43.23832
-8.64247,43.23832
-8.64200,41.06804
-8.63740,42.18700
-8.63710,38.53639
-8.63710,38.53639
-8.63596,41.07872
-8.63585,42.66844
-8.63520,42.39386
-8.63520,42.39386
-8.63490,41.17147
-8.63475,41.07934
-8.63475,41.07938
-8.63475,41.07938
-8.63367,42.18349
-8.63333,42.36656
-8.63333,42.36656
-8.62955,41.17244
-8.62646,41.22819
-8.62581,42.15785
-8.62454,41.02742
-8.62423,41.11982
-8.62348,41.08318
-8.62171,41.17362
-8.61763,40.99661
-8.61741,40.99627
-8.61632,41.08552
-8.61340,42.80660
-8.61067,40.97717
-8.60931,38.51014
-8.60632,41.51990
-8.59647,42.24486
-8.59619,41.17193
-8.59387,41.18527
-8.59036,41.19539
-8.58288,41.15480
-8.58210,41.16001
-8.58139,41.15278
-8.58134,41.07878
-8.57979,41.07450
-8.57975,41.14769
-8.57903,41.09201
-8.57097,37.15922
-8.57011,41.15762
-8.57010,41.15787
-8.55972,42.86383
-8.55861,42.86373
-8.55179,42.87205
-8.55121,42.77567
-8.54976,42.86962
-8.54646,42.86797
-8.54584,42.87070
-8.54549,42.87118
-8.54344,42.87206
-8.54192,42.86278
-8.53919,37.15125
-8.53854,41.29943
-8.53592,42.88929
-8.53349,42.89174
-8.53174,42.17882
-8.53115,41.30522
-8.52644,43.27878
-8.52372,40.93103
-8.51503,40.44168
-8.50651,41.19715
-8.49904,43.28959
-8.49515,42.91740
-8.49212,42.91917
-8.49048,40.39741
-8.48702,40.19413
-8.48308,42.92619
-8.48199,40.85557
-8.48199,40.85557
-8.47613,40.13169
-8.47071,41.31230
-8.46926,40.84162
-8.46926,40.84162
-8.46561,37.13799
-8.46506,40.62821
-8.46488,41.49359
-8.46424,41.47335
-8.45539,40.16915
-8.45326,38.97574
-8.45320,43.33475
-8.43940,40.22130
-8.43720,43.35348
-8.43581,39.49064
-8.43412,43.35048
-8.42848,43.35531
-8.42713,43.34672
-8.42178,43.33262
-8.41426,43.32458
-8.40895,43.36712
-8.40838,43.35173
-8.40798,43.36238
-8.40605,43.35563
-8.40545,43.36243
-8.40537,43.36496
-8.40318,42.90824
-8.40100,43.36802
-8.39732,43.36995
-8.39523,43.32993
-8.39523,43.33004
-8.39340,41.25818
-8.39096,43.34997
-8.39063,43.36737
-8.39008,43.35129
-8.38635,40.65984
-8.38415,42.16665
-8.37915,40.30923
-8.37835,43.33272
-8.37603,41.40890
-8.37312,41.26100
-8.37168,41.41016
-8.34497,40.66925
-8.34126,43.32331
-8.33254,41.42880
-8.32999,43.30820
-8.30509,41.45119
-8.30506,41.45117
-8.30397,43.28618
-8.29773,37.50129
-8.29773,37.50129
-8.29028,42.98866
-8.28363,37.51428
-8.28363,37.51428
-8.28140,40.68031
-8.27708,37.12884
-8.26705,37.54300
-8.26705,37.54300
-8.26166,37.56659
-8.26166,37.56659
-8.24459,40.68809
-8.23924,43.48962
-8.23879,37.21175
-8.22280,41.45684
-8.20978,37.12179
-8.20430,37.88904
-8.20430,37.88904
-8.19524,41.22761
-8.18403,37.88120
-8.18403,37.88120
-8.18306,43.16741
-8.18153,43.09113
-8.17424,43.39323
-8.17312,43.47572
-8.17149,43.24340
-8.17054,40.68111
-8.16251,41.20372
-8.15735,43.48234
-8.15701,43.49300
-8.14274,42.30270
-8.13683,40.69324
-8.10780,42.30826
-8.10474,42.42540
-8.10407,38.62632
-8.08662,43.52497
-8.03437,43.49942
-8.02766,42.47079
-8.00284,39.77258
-7.96899,43.19233
-7.96528,37.03251
-7.95000,37.03836
-7.92816,43.63999
-7.89648,42.28746
-7.88642,40.51585
-7.87804,42.33929
-7.87797,42.33958
-7.87740,42.34893
-7.87638,42.35172
-7.87507,42.28733
-7.86750,40.65119
-7.86690,42.34984
-7.86241,42.32604
-7.86180,42.31643
-7.86171,42.33170
-7.86057,40.64798
-7.85806,42.28469
-7.85462,42.36854
-7.85204,42.34255
-7.85084,42.38691
-7.84994,42.39574
-7.84597,40.63426
-7.82861,43.18506
-7.79816,38.51992
-7.79816,38.51992
-7.77983,38.50789
-7.77983,38.50789
-7.77588,41.10530
-7.77219,41.14029
-7.75638,43.43078
-7.74405,42.44169
-7.72966,38.02275
-7.72045,42.08777
-7.71354,43.17475
-7.69921,43.28114
-7.69780,43.29524
-7.69640,42.49236
-7.66978,43.25528
-7.65392,40.61411
-7.65127,43.72965
-7.60987,42.30031
-7.60987,42.30031
-7.59039,42.29431
-7.59018,42.29418
-7.59018,42.29418
-7.58298,43.01659
-7.56248,43.01230
-7.56044,43.00970
-7.56043,43.02635
-7.55610,43.01387
-7.54597,42.99763
-7.51538,41.96072
-7.47688,38.81413
-7.46218,42.68646
-7.45697,41.91997
-7.45511,43.36144
-7.40926,43.37632
-7.40739,43.37759
-7.35405,43.38154
-7.34925,43.38325
-7.34043,40.39871
-7.30397,42.90827
-7.15105,42.86270
-7.10270,42.05527
-7.09580,38.68177
-7.05682,37.30396
-7.05216,42.74369
-7.04208,43.54288
-7.04076,43.54282
-7.03434,42.41164
-7.02716,43.54292
-7.02708,43.54309
-7.01810,37.20564
-7.01334,42.71963
-6.99792,39.19681
-6.99792,39.19681
-6.99452,38.87827
-6.99392,38.88314
-6.99299,39.18490
-6.99299,39.18490
-6.99027,37.26889
-6.98907,42.68747
-6.98506,37.27174
-6.98131,38.87388
-6.98057,38.87264
-6.97897,38.87101
-6.97505,37.18625
-6.97260,38.86925
-6.97175,37.18228
-6.96872,38.88482
-6.96827,38.88480
-6.96555,38.87094
-6.96026,38.87282
-6.95676,42.03929
-6.94332,37.28404
-6.90542,37.94662
-6.90542,37.94662
-6.89282,37.30816
-6.87860,37.23422
-6.85726,37.93478
-6.85726,37.93478
-6.84054,39.42962
-6.82672,42.03310
-6.80256,37.50832
-6.78672,38.34710
-6.74820,38.86023
-6.74656,43.53530
-6.72181,38.65497
-6.71875,37.79782
-6.71145,42.57538
-6.69224,37.61870
-6.67422,37.62366
-6.65846,37.66036
-6.65657,37.67643
-6.65638,37.67638
-6.61701,38.84758
-6.61469,38.90409
-6.60722,38.90426
-6.57525,37.35245
-6.54907,39.99950
-6.54887,37.04469
-6.53364,43.54208
-6.53228,42.57639
-6.52555,37.35996
-6.47875,39.90790
-6.44705,39.45725
-6.43451,39.38870
-6.41191,38.42637
-6.40661,36.69387
-6.39555,38.67900
-6.37906,39.47463
-6.37858,39.46800
-6.37780,39.46698
-6.37672,39.47906
-6.37316,38.80857
-6.36893,38.62701
-6.36805,39.79785
-6.35790,42.02100
-6.35552,38.90615
-6.34552,38.91435
-6.33802,38.38245
-6.33537,38.91299
-6.33160,38.39499
-6.33160,38.39499
-6.27431,36.52122
-6.27431,36.52122
-6.26722,38.94792
-6.25223,36.46284
-6.24884,36.46044
-6.24842,36.50550
-6.23279,37.31947
-6.22950,36.52066
-6.22946,36.52071
-6.22833,37.65788
-6.21521,42.57970
-6.20544,36.46932
-6.20533,36.46991
-6.20331,36.38555
-6.20291,36.56697
-6.20251,36.55659
-6.19666,36.63449
-6.18083,36.39052
-6.17889,42.55147
-6.17808,36.64519
-6.17775,37.62855
-6.17613,36.46777
-6.17489,38.34512
-6.17489,38.34512
-6.17055,36.46749
-6.17048,36.38776
-6.16721,36.38020
-6.15991,36.41565
-6.15931,36.39487
-6.15834,36.41173
-6.15582,36.36655
-6.15207,36.52855
-6.14596,36.42062
-6.14584,36.40315
-6.14205,36.41915
-6.13954,36.43038
-6.13793,36.41526
-6.13699,37.33549
-6.13538,36.44345
-6.13527,37.33733
-6.13383,36.42052
-6.13354,37.33906
-6.12970,36.41787
-6.12493,36.42223
-6.12021,36.43408
-6.11103,43.47227
-6.08225,37.52580
-6.07770,42.44666
-6.06652,36.83339
-6.06594,36.70625
-6.05947,37.29146
-6.03586,37.36317
-6.03445,37.38525
-6.03394,37.38766
-6.03358,37.38900
-6.03320,38.25644
-6.03256,37.36306
-6.03053,36.71996
-6.02795,37.32929
-6.01247,37.39610
-6.01036,37.40437
-5.99675,37.35200
-5.99562,37.35090
-5.99302,37.40720
-5.99084,37.34704
-5.98678,37.34355
-5.98597,37.34300
-5.98544,41.53668
-5.98544,41.53668
-5.98435,37.41329
-5.97421,43.55979
-5.97054,37.39358
-5.96924,37.41688
-5.96616,37.37196
-5.96327,37.37463
-5.96249,43.37285
-5.94960,37.41146
-5.94805,37.40425
-5.94757,37.42284
-5.94720,37.40291
-5.94712,37.42225
-5.94289,43.55417
-5.93843,37.34827
-5.93604,37.40447
-5.93526,37.40489
-5.93237,37.38601
-5.93227,37.38620
-5.92911,37.34204
-5.92908,43.54425
-5.92737,37.47491
-5.91380,41.54218
-5.91380,41.54218
-5.91252,40.12728
-5.91034,38.96061
-5.90656,42.30696
-5.90460,37.42443
-5.90218,42.30380
-5.90146,42.29466
-5.89982,37.12848
-5.89921,40.99782
-5.89921,40.99782
-5.89317,42.30113
-5.88959,42.29492
-5.88827,37.43215
-5.88256,37.37188
-5.88244,37.37154
-5.87897,38.95909
-5.87569,42.86313
-5.87557,42.84605
-5.87528,43.36447
-5.87413,37.43254
-5.87199,43.32267
-5.87108,43.36811
-5.87095,43.36830
-5.86732,37.09836
-5.85616,43.36496
-5.85530,43.35597
-5.85306,43.36709
-5.85050,43.35584
-5.84879,40.02524
-5.84526,42.02294
-5.84355,43.35455
-5.84252,43.36597
-5.84124,43.36632
-5.83239,37.34799
-5.83163,42.97820
-5.82910,43.37062
-5.82885,43.52873
-5.82833,43.35554
-5.82532,43.52590
-5.81912,43.09961
-5.81412,43.40992
-5.80948,43.40481
-5.80707,43.40105
-5.80666,43.40363
-5.80627,43.40005
-5.80578,43.40473
-5.80576,43.41150
-5.80484,43.39229
-5.80390,43.40092
-5.80236,43.40771
-5.80167,43.39991
-5.79888,37.20158
-5.79798,41.63374
-5.79626,38.98772
-5.79310,36.47016
-5.79032,43.47777
-5.79017,36.46813
-5.78957,43.48544
-5.78816,38.96866
-5.78578,43.19713
-5.78459,43.19711
-5.77830,37.18276
-5.77782,43.25448
-5.77459,37.62896
-5.77158,43.18996
-5.77115,43.18958
-5.76730,39.02958
-5.76486,40.96596
-5.76486,40.96596
-5.75209,36.81285
-5.75044,43.39044
-5.73323,42.54155
-5.73323,42.54155
-5.73249,37.60588
